Question,A,B,C,D,source_folder,num_answers
"Nếu một công ty chỉ chú trọng vào technical controls mà bỏ qua administrative và physical controls, điều gì có thể xảy ra?",Hệ thống hoàn toàn an toàn vì kỹ thuật đủ mạnh để bảo vệ mọi rủi ro.,Công ty có thể vẫn bị xâm nhập hoặc tổn thất do lỗ hổng về con người (ví dụ: mật khẩu yếu) hoặc truy cập vật lý; cần kết hợp cả ba nhóm kiểm soát,Chỉ cần bổ sung thêm phần mềm antivirus là đủ để thay thế administrative và physical controls.,"5. Việc thiếu administrative và physical controls chỉ ảnh hưởng tới chi phí, không ảnh hưởng an ninh.",train_fix,1
"Với một câu đầu vào có 4 từ và mỗi từ có thể gán 4 nhãn khác nhau (v, n, p, d), tổng số chuỗi nhãn *có thể có* mà thuật toán Viterbi xem xét là bao nhiêu?",4,8,256,16,train_fix,1
Tensor được chuyên dùng để mô tả dữ liệu theo mấy chiều,Một,Hai,Nhiều hơn hai,,train_fix,1
"Nếu môi trường sản xuất thay đổi ánh sáng thường xuyên nhưng không cập nhật mô hình, hậu quả nào dưới đây có khả năng xảy ra nhất?",Mô hình tự động thích nghi và chính xác hơn,Độ chính xác giảm do drift dữ liệu,Tốc độ xử lý tăng vì ít dữ liệu cần phân tích,Hệ thống sẽ tự động bật chế độ bảo trì mà không cần giám sát,train_fix,1
"Mục tiêu chính của Quy chuẩn kỹ thuật quốc gia về sản phẩm, hàng hóa vật liệu xây dựng là gì?",Để tăng số lượng hàng hóa nhập khẩu.,"Để quy định mức giới hạn đặc tính kỹ thuật và yêu cầu quản lý sản phẩm, hàng hóa vật liệu xây dựng.",Để thay thế hoàn toàn các tiêu chuẩn TCVN hiện hành.,Để khuyến khích sử dụng vật liệu nhập khẩu thay cho sản xuất trong nước.,train_fix,1
"Theo tài liệu Public_195, Trí tuệ nhân tạo (AI) trong giáo dục bắt đầu được biết đến mạnh mẽ từ năm nào?",1950,1965,2000,2002,train_fix,1
"Giá trị ""50 4E 47"" trong ảnh  PNG có mục đích gì ","Một byte thông báo dừng hiển thị của tập tin

",Là một kiểu kết thúc của DOS giúp phát hiện dòng kết thúc chuyển đổi dữ liệu,"Là chữ cái PNG trong bảng mã ASCII, cho phép xác định định dạng PNG",,train_fix,1
"Theo nội dung văn bản, thành phần nào trong Flutter chịu trách nhiệm cung cấp công cụ (ví dụ: trình biên dịch) để biên dịch mã nguồn thành mã gốc (native code) cho từng hệ điều hành, giúp ứng dụng hoạt động mượt mà trên mỗi nền tảng?",Framework (thư viện giao diện dựa trên widgets),SDK (bộ kit phát triển phần mềm),Ngôn ngữ Dart,Các widget tích hợp sẵn,train_fix,1
Nội dung chính của thuật toán đàn kiến (ACO) là gì?,Kỹ thuật mã hóa dữ liệu trong mạng truyền thông,Mô phỏng neuron sinh học để học sâu,Mô phỏng hành vi kiếm ăn của đàn kiến nhằm giải bài toán tối ưu tổ hợp,Giải pháp xác suất trong lập lịch tiến trình CPU,train_fix,1
Công cụ chính để mô phỏng sự hình thành vũ trụ được thảo luận trong tài liệu Public_094 là gì?,Kính viễn vọng Hubble,Siêu máy tính và mô hình số quy mô lớn,Máy gia tốc hạt nhỏ,Tàu vũ trụ,train_fix,1
Trạng thái “Đã phát hành” trong sơ đồ trạng thái hóa đơn tương ứng với hành động nào?,Đã xuất HĐ,Xuất HĐ thất bại,Chưa yc xuất HĐ,Lỗi TT xuất HĐ,train_fix,1
Các thành phần chính của SQL Server là gì?,"Database Engine, External Protocols","Database Engine, External Protocols và SQLOS",Database Engine,"Database Engine, External Protocols SQLOS, Hệ điều hành và các ứng dụng liên quan khác",train_fix,1
Lớp mạng nào bị tấn công chủ yếu trong ACK Flood Attack?,Lớp 7 (Lớp Ứng dụng).,Lớp 4 (Lớp Vận chuyển - Transport Layer)., Lớp 3 (Lớp Mạng).,Lớp 2 (Lớp Liên kết dữ liệu).,train_fix,1
Xác định đúng sự kết hợp giữa “loại HTTT” và “vai trò chính” mà văn bản mô tả:,HTTT quản lý – Cung cấp báo cáo định kỳ theo mẫu cho nhà quản lý,Hệ thống hỗ trợ quyết định – Quản lý tài chính và nhân sự,HTTT điều hành – Cung cấp báo cáo pháp luật và nghị định cho lãnh đạo,Hệ thống chức năng doanh nghiệp – Hỗ trợ quyết định chiến lược,train_fix,1
Thách thức lớn nhất khi các bệnh viện có đặc điểm dữ liệu khác nhau là gì?,Độ trễ mạng,Quá nhiều client,Thiếu GPU,Dữ liệu không đồng nhất (Non-IID),train_fix,1
Phần mềm độc hại hoạt động như một network sniffer trên thiết bị của nhà cung cấp nào?,Huawei,Juniper,Cisco,Fortinet,train_fix,1
Zoiper có thể hỗ trợ nhiều giao thức kết nối và nhiều nền tảng thiết bị. Phần mềm này hỗ trợ những giao thức nào và có thể cài đặt trên những hệ điều hành nào?,"Hỗ trợ SIP, IAX, XMPP và chạy trên Windows, Linux, MacOS, iOS, Android, Web browser","Hỗ trợ HTTP, FTP, SMTP và chạy trên Windows, Solaris, Unix","Hỗ trợ POP3, IMAP, SMTP và chạy trên iOS, Symbian, Windows Phone","Hỗ trợ SSH, Telnet, SNMP và chạy trên Linux, Ubuntu, MacOS",train_fix,1
Không gian màu HVI được thiết kế nhằm mục đích chính nào?,Giảm số lượng kênh màu trong RGB,Tăng tốc huấn luyện mạng nơ-ron,Tách biệt rõ ràng độ sáng và màu sắc,Tái sử dụng trực tiếp không gian HSV,train_fix,1
Hệ thức nào về hàm mật độ/phân phối đồng thời là đúng khi hai biến ngẫu nhiên xxx và yyy độc lập?,"p(x∣y)=p(x) và do đó p(x,y)=p(x)p(y)p(x,y)=p(x)p(y)p(x,y)=p(x)p(y)","p(x,y)=p(x∣y)p(y)","p(y∣x)=p(y) nhưng p(x,y)≠p(x)p(y)p(x,y)\ne p(x)p(y)p(x,y)=p(x)p(y)",p(x∣y)=p(y∣x),train_fix,1
"Dựa trên thông tin trong tài liệu Public_055 về tìm kiếm nhị phân hoàn thành trong logN bước, cho biết mảng đã sắp xếp gồm 2^8 phần tử sẽ cần bao nhiêu bước?",8,7,9,6,train_fix,1
Thách thức kỹ thuật chính của pin natri-ion hiện nay?,Thiếu nguồn natri,Khó sản xuất cực âm,Mật độ năng lượng thấp và vật liệu điện cực cần cải tiến,Không thể tái chế,train_fix,1
"Theo tài liệu Public_076, giải pháp nào cho phép nhiều tổ chức cùng huấn luyện mô hình mà không chia sẻ dữ liệu thô?",Federated Learning,Gradient Boosting,Edge AI,Static Firewall,train_fix,1
Hình thức triển khai nào cho phép trạm gốc 6G sử dụng tài nguyên lượng tử từ xa?,Cloud-Quantum,On-Premise Only,Blockchain,Satellite Direct,train_fix,1
"So sánh kiểm thử hộp trắng và kiểm thử hộp đen, phương pháp nào ưu việt hơn?",Kiểm thử hộp trắng,Kiểm thử hộp đen,Không phương pháp nào ưu việt hơn,,train_fix,1
Thuật toán nào có tỉ lệ nhận dạng đúng cao nhất trên tập MNIST?,SGD with momentum (~99.2%),AdaDelta (~93.4%),Adagrad (~99%),RMSProp (~99%),train_fix,1
"Năm 2010, công nghệ nào thường được sử dụng trong kiểm soát ra vào ngôi nhà thông minh?",Bluetooth Low Energy,RFID và nhận dạng khuôn mặt/vân tay,Zigbee,Blockchain,train_fix,1
Nội dung chính của tài liệu Public_031 là gì?,Giới thiệu về mạch tích hợp IC,"Trình bày khái niệm, đơn vị, ký hiệu, cấu tạo, ý nghĩa, công thức tính và cách mắc nối tiếp của điện trở trong mạch điện",Giới thiệu về transistor BJT,Giới thiệu về diode bán dẫn,train_fix,1
Ưu điểm quan trọng nhất giúp pin thể rắn an toàn hơn?,Có thêm lớp nhôm,Tăng dung lượng điện áp,Không chứa dung dịch dễ cháy,Sử dụng nhiều cobalt,train_fix,1
Nội dung chính của tiêu chuẩn TCVN 5574:2018 là gì?,Quy định về phương pháp thí nghiệm vật liệu bê tông,"Nguyên tắc thiết kế, tính toán độ bền, ổn định, biến dạng, nứt và quy định về vật liệu cho kết cấu bê tông, bê tông cốt thép",Chỉ quy định về cấu kiện bê tông dự ứng lực,Hướng dẫn thi công và nghiệm thu công trình bê tông,train_fix,1
"Khi lựa chọn công cụ AI để thiết kế học liệu điện tử, giáo viên nên ưu tiên tiêu chí nào quan trọng nhất để đảm bảo hiệu quả dạy học?","Tính năng phù hợp, dễ sử dụng, chi phí và khả năng tùy chỉnh",Mức độ nổi tiếng của công cụ trên thị trường,Công cụ có nhiều quảng cáo trên mạng xã hội,Chỉ lựa chọn công cụ miễn phí mà không xét đến chất lượng.,train_fix,1
Thành phần chính của xơ bông là gì?,Lignin,Xenlulozơ (trên 90%),Keratin,Tinh bột,train_fix,1
"Olympic 2004 tại Hy Lạp dự kiến kinh phí 2 tỷ EURO, nhưng phải chi tới 12 tỷ EURO. Vậy chi phí thực tế đã vượt bao nhiêu phần trăm (%) so với kế hoạch ban đầu?",2,5,6,3,train_fix,1
Chiều dày lớp bảo vệ chịu lửa được định nghĩa như thế nào?,Tổng chiều dày của hệ đỡ và lớp phủ bảo vệ,Độ dày phần bề mặt cấu kiện thép tiếp xúc với lửa,"Chiều dày khô của lớp phủ hoặc tổng các lớp trong hệ bảo vệ (không tính sơn lót, sơn phủ, hệ đỡ)",Độ dày phần thép lõi bên trong,train_fix,1
"Theo tài liệu Public_086, lợi ích lớn nhất của AI trong quản lý năng lượng tái tạo là gì?",Giảm bức xạ mặt trời,Dự báo và tối ưu phân phối năng lượng theo thời gian thực,Tăng tiêu thụ nhiên liệu hóa thạch,Tăng nhiệt độ vận hành pin,train_fix,1
"Theo tài liệu, Tableau nhấn mạnh việc hiểu rõ kiểu dữ liệu của từng trường (Number, String, Date, Boolean, Geographic Role). Nếu một trường ngày tháng bị gán sai kiểu dữ liệu thành String, hậu quả nào dễ xảy ra nhất?",Tableau vẫn vẽ được biểu đồ thời gian chính xác,Kết quả phân tích bị sai lệch do không thể hiển thị theo trục thời gian ,Hệ thống tự động sửa lại thành kiểu Date,Người dùng không cần quan tâm vì kiểu dữ liệu không ảnh hưởng,train_fix,1
Hai giả định cơ bản của Hidden Markov Model là gì?,Độc lập Markov và độc lập thời gian,Giả định tuyến tính và giả định phi tuyến,Giả định Markov và giả định độc lập quan sát,Giả định phân phối chuẩn và giả định Markov bậc cao,train_fix,1
Tấn công ACK Flood khác gì so với SYN Flood Attack về cơ chế và mục tiêu tấn công?,"ACK Flood tấn công lớp 7 bằng gói SYN giả mạo, SYN Flood tấn công lớp 4 bằng gói ACK giả mạo.","ACK Flood tấn công lớp 4 bằng gói ACK giả mạo, còn SYN Flood tấn công lớp 4 bằng gói SYN giả mạo.","ACK Flood tấn công lớp 7 bằng gói ACK giả mạo, SYN Flood tấn công lớp 4 bằng gói SYN giả mạo.","ACK Flood tấn công lớp 4 bằng gói SYN giả mạo, còn SYN Flood tấn công lớp 7 bằng gói ACK giả mạo.",train_fix,1
Dự án quốc tế nào đang xây dựng lò phản ứng 500 MW ở Pháp?,NIF,Wendelstein 7-X,SPARC,ITER,train_fix,1
"Theo báo cáo, Salt Typhoon đã hoạt động ít nhất từ năm nào? Và Salt Typhoon nhắm mục tiêu vào loại hạ tầng nào?","2019 
và hạ tầng mạng","2014
và hạ tầng mạng","2025
và ứng dụng web","2019 
và hệ thống OT",train_fix,1
"Giải thích nguyên lý hoạt động, kiến trúc và lợi ích của Edge Computing trong các ứng dụng thời gian thực công nghiệp, kèm các ví dụ tiêu biểu.","Nguyên lý: xử lý dữ liệu tại biên (sensor→edge→cloud), giảm độ trễ, tiết kiệm băng thông, tăng bảo mật; kiến trúc 3 tầng thiết bị–biên–đám mây; ứng dụng: robot hợp tác, bảo trì dự đoán, kiểm soát chất lượng, AR bảo dưỡng, quản lý năng lượng.","Edge chỉ để lưu trữ tạm dữ liệu, mọi xử lý vẫn ở cloud; không cải thiện bảo mật.",Hoạt động theo mô hình thuần cloud; edge chỉ làm nhiệm vụ chuyển tiếp dữ liệu.,"Chỉ phù hợp với video streaming, không áp dụng công nghiệp.",train_fix,1
"Để bảo vệ dữ liệu trong quá trình truyền, lớp bảo mật nào nên được áp dụng cho kết nối TCP/UDP?",AES lưu trữ nội bộ,TLS/DTLS,WPA2,Blockchain,train_fix,1
"Mô tả nguyên lý hoạt động của blockchain và cách nó giải quyết minh bạch, chống giả mạo trong chuỗi cung ứng, đồng thời nêu thách thức triển khai.","Nguyên lý: block–hash–consensus (PoS, PBFT, PoA), smart contract tự động thanh toán; ứng dụng: truy xuất nguồn gốc, chống giả, tối ưu vận chuyển, kiểm toán; thách thức: mở rộng, bảo mật dữ liệu nhạy cảm, chuẩn hóa, tích hợp hệ thống hiện hữu.",Blockchain chỉ dùng cho tiền điện tử; không áp dụng truy xuất nguồn gốc; thách thức chủ yếu là chi phí điện năng khai thác.,"Chỉ cần mã QR để truy xuất, không cần blockchain; thách thức chính là đào tạo nhân sự.",Dùng cơ sở dữ liệu quan hệ thay blockchain; thách thức chính là tốc độ mạng.,train_fix,1
"Trong xử lý ngôn ngữ, bài toán nào có mục tiêu chuyển văn bản thành tiếng nói?",Nhận dạng tiếng nói (speech recognition),Trích chọn thông tin (information extraction),Tổng hợp tiếng nói (speech synthesis),Phát hiện tri thức (knowledge discovery),train_fix,1
"Đâu là yếu tố tạo nên ""Conditional"" trong Conditional GAN?","Generator sinh ảnh nửa chừng rồi đi qua một kiểm tra điều kiện, nếu không đạt thì thay đổi ảnh",Generator sẽ nhận vào điều kiện của ảnh và phải sinh ảnh khớp với điều kiện,Discriminator chỉ phân biệt ảnh theo các điều kiện nhất định,"Discriminator được biết điều kiện của ảnh, sẽ đánh giá ảnh của Generator theo điều kiện đó",train_fix,1
"Theo tài liệu, thành phần nào trong chứng chỉ số đóng vai trò ký để đảm bảo tính xác thực và toàn vẹn?",Khóa công khai của người dùng, Khóa riêng của người dùng,Chữ ký số của CA (Certificate Authority) ,Thông tin nhận dạng trong trường Subject,train_fix,1
"Trình bày kiến trúc đa lớp và quy trình quản lý mạng IoT quy mô hàng triệu thiết bị, đồng thời giải thích cách bảo mật đa tầng (từ thiết bị đến truyền thông) và cơ chế giám sát–phản ứng sự cố.","Kiến trúc gồm Device–Network–Edge/Cloud; quản lý thiết bị với provisioning, OTA update, phân nhóm; bảo mật gồm secure boot, mã hóa TLS/DTLS, xác thực hai chiều, IDS/IPS học máy; giám sát big data bằng Spark/Flink, dashboard Grafana; phản ứng cách ly thiết bị nghi ngờ.","Chỉ cần lớp mạng và cloud, bỏ qua bảo mật phần cứng; bảo mật truyền thông chủ yếu là VPN; giám sát bằng log thủ công.","Tập trung vào lớp thiết bị, bỏ qua Edge/Cloud; bảo mật bằng mật khẩu tĩnh; không cần hệ thống phát hiện xâm nhập.","Kiến trúc 2 lớp (thiết bị–cloud) đủ; bảo mật chỉ cần TLS cơ bản, không cần phân tích dữ liệu lớn.",train_fix,1
Xơ dệt được phân loại theo nguồn gốc thành mấy nhóm chính?,1 nhóm,2 nhóm: xơ tự nhiên và xơ hóa học,3 nhóm,4 nhóm,train_fix,1
"Theo tài liệu Public_060, đâu không phải một yếu tố khiến bài toán Tam giác được đề cập trong đó trở nên phổ biến?","Hệ thống đặc tả đầy đủ đơn giản, dễ liệt kê",Hàm ý yêu cầu nghiêm ngặt về bảo toàn đặc tả,"Hàm ý người kiểm thử cần đặt ra những trường hợp ""không tầm thường"" (ví dụ input không hợp lệ phải trả về kết quả gì)","Cài đặt dài dòng, rất nhiều if else",train_fix,1
Người kiểm thử cần quan tâm điều gì liên quan đến đặc tả được đề cập trong tài liệu Public_061?,"Người thiết lập đặc tả (người thiết kế, lập trình viên)",Cách viết đặc tả,Ngôn ngữ đặc tả,Văn phong đặc tả,train_fix,1
"Theo Quy chuẩn kỹ thuật quốc gia về vật liệu xây dựng, cường độ nén tối thiểu của xi măng poóc lăng PC40 sau 3 ngày và 28 ngày lần lượt là bao nhiêu MPa?",21 và 40,25 và 50,18 và 40,22 và 50,train_fix,1
Phương pháp nào giúp giảm chi phí đầu tư và cho phép nhiều nhà cung cấp thiết bị tham gia triển khai hạ tầng 5G?,Triển khai thuần Cloud,Sử dụng duy nhất nhà mạng quốc gia,Chỉ dùng mmWave,Kiến trúc Open RAN,train_fix,1
Điểm khác biệt cơ bản giữa tấn công DoS và tấn công DDoS là gì?, Loại lưu lượng được sử dụng,"
Phạm vi và số lượng máy tham gia tấn công ",. Cơ chế phản xạ trong quá trình tấn công,Loại giao thức bị khai thác,train_fix,1
Câu lệnh `int temp = 31415;` thuộc loại khai báo và khởi tạo biến nào?,I-def,A-def,C-use,O-use,train_fix,1
“Learning rate” (ký hiệu η\etaη) trong Gradient Descent có vai trò gì?,Xác định hướng di chuyển của tham số,Điều chỉnh tốc độ cập nhật tham số ở mỗi vòng lặp,Kiểm tra đạo hàm có đúng hay không,Đảm bảo thuật toán hội tụ đến global minimum,train_fix,1
Nội dung chính của tài liệu về CNN tập trung vào vấn đề gì?,Hướng dẫn cài đặt phần mềm CNN trên máy tính,Trình bày các ứng dụng CNN trong phát hiện khuôn mặt,"Giới thiệu lý thuyết tích chập, kiến trúc CNN, các tính chất và ứng dụng trong xử lý ảnh",So sánh CNN với các mô hình RNN,train_fix,1
Nội dung chính của tiêu chuẩn TCVN 9395:2012 là gì?,Quy định thiết kế kết cấu móng,Hướng dẫn phương pháp thí nghiệm tải trọng cọc,"Quy định về thi công, kiểm tra chất lượng, nghiệm thu và an toàn lao động trong xây dựng cọc khoan nhồi",Chỉ quy định về yêu cầu an toàn trong công tác khoan,train_fix,1
Phiên bản PHP nào đánh dấu sự phổ biến và chiếm lĩnh thị trường phát triển web?,PHP 2,PHP 3,PHP 5,PHP7,train_fix,1
Các loại bê tông nào được phép sử dụng khi thiết kế kết cấu theo TCVN 5574:2018?,Bê tông nặng,Bê tông hạt nhỏ,"Bê tông nhẹ, bê tông tổ ong",Bê tông tự ứng suất,train_fix,1
"Trong trường hợp, số lượng consumer trong cùng một consumer group nhiều hơn số lượng partition của một topic thì xảy ra vấn đề gì? ",Số lượng consumer dư thừa sẽ nhàn rỗi vì chúng không được gắn vào bất kỳ partition,"Không có vấn đề gì cả, hệ thống hoạt động bình thường", Giảm hiệu suất tổng thể của hệ thống do tốn thêm tài nguyên và thời gian xử lý,"Hệ thống có thể trở nên chậm lại và ít nhạy bén hơn trong việc xử lý các message, gây ra gián đoạn và giảm hiệu suất chung",train_fix,1
"Theo tài liệu Public_096, thách thức kỹ thuật trọng yếu của nhiệt hạch là gì?",Thiếu nguồn nhiên liệu,Giam giữ plasma ổn định ở nhiệt độ hàng trăm triệu °C,Nhiệt độ quá thấp,Áp suất khí quyển cao,train_fix,1
Kỹ thuật nào giúp hợp nhất dữ liệu từ nhiều cảm biến khác nhau nhằm nâng cao độ chính xác và độ tin cậy của thông tin?,CNN,GAN,Sensor Fusion,Tokenization,train_fix,1
"Yếu tố ""đầu ra = 1 nếu dự đoán đúng và = 0 nếu ngược lại"" nằm trong các đo độ nào được nhắc đến trong tài liệu?",Hamming Loss và Average Precision,Hamming Loss và One Error,One Error và Coverage,Average Precision và Ranking Loss,train_fix,1
CDR là viết tắt của chỉ số nào trong viễn thông?,Call Drop Rate,Call Data Rate,Customer Data Record,Circuit Data Rate,train_fix,1
"Hãy xác định kỹ thuật tấn công DoS phổ biến thường được đề cập trong tài liệu, và  biện pháp phòng chống cơ bản cho tấn công SYN Flood.",Ping Sweep; sử dụng ICMP Redirect để ngăn chặn,SYN Flood; sử dụng Spoofed IP Filtering,Smurf; tăng kích thước bảng kết nối,"
UDP Scan; dùng NAT để che giấu địa chỉ",train_fix,2
Tóm tắt những ảnh hưởng của đại dịch COVID-19 đến việc áp dụng công nghệ trong giáo dục là gì?,Không ảnh hưởng gì đến giáo dục,Tăng cường nhận thức về tầm quan trọng của công nghệ trong giáo dục ,Làm giảm chất lượng giáo dục,Chỉ ảnh hưởng đến các trường học lớn,train_fix,1
Input của Generator trong mạng tạo sinh đối kháng (GAN) là gì?,Vector không,Vector một,Vector ngẫu nhiên,Tensor 3 kênh,train_fix,1
Định nghĩa của SQL và ORM là gì,"SQL là ngôn ngữ lập trình phổ biến nhất, được sử dụng rộng rãi
ORM là một lớp đầu tiên của ứng dụng và cơ sở dữ liệu, cho phép truy vấn dữ liệu bằng cách sử dụng đối tượng và lập trình hướng đối tượng thay vì SQL truyền thống. Các ORM phổ biến hiện nay bao gồm Hibernate cho Java, Entity Framework cho .NET và Django ORM cho Python.","SQL là ngôn ngữ truy vấn cơ sở dữ liệu phổ biến nhất, được sử dụng rộng rãi để tạo và thực thi các truy vấn cơ sở dữ liệu. Với SQL, bạn có thể tạo các câu lệnh SELECT, INSERT, UPDATE, DELETE và các câu lệnh khác để truy vấn và quản lý dữ liệu trong hệ thống.
ORM là một lớp cuối cùng giữa ứng dụng và cơ sở dữ liệu, cho phép truy vấn dữ liệu bằng cách sử dụng đối tượng và lập trình hướng đối tượng thay vì SQL truyền thống. Các ORM phổ biến hiện nay bao gồm Hibernate cho Java, Entity Framework cho .NET và Django ORM cho Python.","SQL là ngôn ngữ truy vấn cơ sở dữ liệu không phổ biến. Với SQL, bạn có thể tạo các câu lệnh SELECT, INSERT, UPDATE, DELETE và các câu lệnh khác để truy vấn và quản lý dữ liệu trong hệ thống.
ORM là một lớp trung gian giữa ứng dụng và cơ sở dữ liệu, cho phép truy vấn dữ liệu bằng cách sử dụng đối tượng và lập trình hướng đối tượng thay vì SQL truyền thống. Các ORM phổ biến hiện nay bao gồm Hibernate cho Java, Entity Framework cho .NET và Django ORM cho Python.","SQL là ngôn ngữ truy vấn cơ sở dữ liệu phổ biến nhất, được sử dụng rộng rãi để tạo và thực thi các truy vấn cơ sở dữ liệu. Với SQL, bạn có thể tạo các câu lệnh SELECT, INSERT, UPDATE, DELETE và các câu lệnh khác để truy vấn và quản lý dữ liệu trong hệ thống.
ORM là một lớp trung gian giữa ứng dụng và cơ sở dữ liệu, cho phép truy vấn dữ liệu bằng cách sử dụng đối tượng và lập trình hướng đối tượng thay vì SQL truyền thống. Các ORM phổ biến hiện nay bao gồm Hibernate cho Java, Entity Framework cho .NET và Django ORM cho Python.
",train_fix,1
Công tắc còi điện trên xe ô tô thường được bố trí ở vị trí như thế nào?,ngoài cửa kính xe,ở vị trí ghế sau xe,gần cần gạt nước mưa,"vị trí thuận lợi cho người lái xe sử dụng, như ở tâm vô lăng lái, hoặc ở gần vành của vô lăng lái",train_fix,1
Phát biểu nào đúng về số chiều tối đa sau khi áp dụng multi-class LDA với C lớp?,Bất kỳ số nào ≤ D,Không vượt quá C − 1,Luôn bằng D′ = C,Không xác định,train_fix,1
Nêu một thành phần thuộc Storage Engine hoặc Query Processor trong Database Engine.,"Storage Engine
• File Storage: Quản lý các tệp dữ liệu và tệp nhật ký giao dịch. Dữ liệu được lưu trữ trong các tệp dữ liệu (.mdf và .ndf), trong khi các giao dịch được ghi lại trong tệp nhật ký giao dịch (.ldf).

Query Processor
• Buffer Manager: Quản lý bộ nhớ đệm (buffer pool), lưu trữ các trang dữ liệu được truy cập gần đây để tăng tốc độ truy vấn.


","Storage Engine
• File Storage: Quản lý các tệp dữ liệu và tệp nhật ký giao dịch. Dữ liệu được lưu trữ trong các tệp dữ liệu (.mdf và .ndf), trong khi các giao dịch được ghi lại trong tệp nhật ký giao dịch (.ldf).

Query Processor
• Parser: Phân tích cú pháp các câu lệnh SQL và chuyển chúng thành các cây cú pháp (syntax tree) để xử lý tiếp theo.

","
Storage Engine
• Optimizer: Tối ưu hóa các kế hoạch thực hiện truy vấn để đảm bảo hiệu suất cao nhất. Nó chọn lựa các kế hoạch truy vấn tối ưu dựa trên thống kê và chi phí ước tính.

Query Processor
• Parser: Phân tích cú pháp các câu lệnh SQL và chuyển chúng thành các cây cú pháp (syntax tree) để xử lý tiếp theo.
",Không rõ từng thành phần,train_fix,1
"Qua quá trình cấp và sử dụng chứng chỉ số trong PKI được mô tả, những điểm rút ra chính nào có thể được xác định?","PKI chỉ liên quan đến phần mềm, không có thành phần con người","PKI là một hạ tầng phức hợp gồm phần cứng, phần mềm, nhân lực, chính sách và thủ tục, bảo đảm việc cấp phát, quản lý và xác thực chứng chỉ số","PKI chỉ cần CA là đủ, không cần các thành phần khác"," PKI chỉ dùng trong giao dịch thương mại điện tử, không áp dụng cho lĩnh vực khác",train_fix,1
Nhóm môn học trong tài liệu Public_002 tập trung cung cấp cho sinh viên kiến thức tổng quan về lĩnh vực nào?,Cơ khí – Điện tử,"Công nghệ thông tin (CSDL, mạng, bảo mật, dữ liệu lớn, IoT, học máy)",Kinh tế – Quản lý,Ngôn ngữ học,train_fix,1
"Theo tài liệu Public_006, cơ quan nào có thẩm quyền cao nhất trong trường đại học?",Hội đồng trường,Ban giám hiệu,Bộ Giáo dục và Đào tạo,Hiệu trưởng,train_fix,1
Ưu điểm nổi bật giúp siêu tụ phù hợp cho xe buýt điện đô thị?,Chi phí thấp hơn pin,Tự sản sinh điện,Tăng nhiệt lượng,Sạc/xả cực nhanh và tuổi thọ cao,train_fix,1
Các phiên bản Ubuntu LTS và các phiên bản hiện đang được hỗ trợ.,"Ubuntu LTS, Ubuntu Server, Ubuntu MATE, Ubuntu Kylin, ","Ubuntu LTS, Ubuntu Server, Ubuntu MATE"," Ubuntu Server, Ubuntu MATE, Ubuntu Kylin, ","Ubuntu LTS, Ubuntu Server",train_fix,1
Bộ phận nào trong hệ thống chống sét có nhiệm vụ thu sét trực tiếp?,"Hệ thống thu sét (kim thu sét, dây dẫn trên mái…)",Hệ thống nối đất,Hệ thống dây dẫn sét,Hệ thống cân bằng điện thế,train_fix,1
Các nhóm linh kiện điện tử cơ bản được đề cập trong tài liệu gồm những nhóm nào?,"Điện trở, tụ điện, cuộn cảm, diode, transistor","Nguồn điện, relay, động cơ, biến áp","Cảm biến, vi xử lý, vi mạch, anten","Đèn điện tử, màn hình CRT, IC analog",train_fix,1
"Nội dung chính của tài liệu “Trí tuệ nhân tạo trong kế toán, kiểm toán” là gì?","Tổng quan cơ sở lý thuyết về AI, lịch sử ứng dụng, các công nghệ AI tiêu biểu và vận dụng AI trong kế toán, kiểm toán, đồng thời đánh giá cơ hội, thách thức và tác động đến ngành.",Mô tả lịch sử phát triển nghề kiểm toán từ thế kỷ XIX đến nay.,Giới thiệu các công cụ quản lý doanh nghiệp dựa trên dữ liệu lớn (Big Data).,Phân tích chi tiết quy trình hạch toán kế toán thủ công.,train_fix,1
"Theo tài liệu Public_064, yếu tố quan trọng nhất của kiểm thử hộp trắng là gì?",Mã nguồn,Trình biên dịch,Ngôn ngữ,Giao diện,train_fix,1
Tổng quát một CNN sẽ gồm hai phần chính nào sau đây?,Các lớp tích chập và các lớp truyền thống,Các kernel tích chập và hàm pool,Các lớp tích chập giảm kích thước và các lớp tích chập tăng kích thước,Các thông số padding và stride,train_fix,1
Thách thức lớn nhất trong thương mại hóa chip neuromorphic hiện nay là gì?,Chuẩn hóa phần mềm và công cụ lập trình cho mạng spiking,Thiếu điện năng,Không thể sản xuất memristor,Thiếu dữ liệu huấn luyện,train_fix,1
Nội dung chính phần 2 của tài liệu HMM (Public_105) là gì?,Trình bày lịch sử phát triển của Markov Chain,"Giới thiệu các thuật toán (Forward, Backward, Viterbi), giả định cơ bản và ứng dụng POS Tagging",Mô tả các mô hình mạng nơ-ron và ứng dụng trong NLP,Giải thích chi tiết công thức EM và tối ưu tham số trong Deep Learning,train_fix,1
